region_name,collection_date,feature_1,feature_2
Gasabo,1-Jan-23,82.01,19.22
Gasabo,1-Feb-23,49.99,17.62
Gasabo,1-Mar-23,46.66,19.93
Gasabo,1-Apr-23,49.17,20.35
Gasabo,1-May-23,51.04,20.35
Gasabo,1-Jun-23,61.77,12.82
Gasabo,1-Jul-23,48.31,8.75
Gasabo,1-Aug-23,56.0,23.48
Gasabo,1-Sep-23,32.7,26.71
Gasabo,1-Oct-23,28.23,16.8
Gasabo,1-Nov-23,65.7,29.54
Gasabo,1-Dec-23,56.85,21.07
Gasabo,1-Jan-24,50.72,18.27
Gasabo,1-Feb-24,33.35,26.13
Gasabo,1-Mar-24,42.36,28.36
Gasabo,1-Apr-24,49.56,13.52
Gasabo,1-May-24,44.88,13.39
Gasabo,1-Jun-24,56.27,6.53
Gasabo,1-Jul-24,52.54,25.21
Gasabo,1-Aug-24,56.3,27.18
Gasabo,1-Sep-24,54.54,17.26
Gasabo,1-Oct-24,44.92,29.58
Gasabo,1-Nov-24,55.65,14.47
Gasabo,1-Dec-24,43.3,25.77
Kicukiro,1-Jan-23,53.74,21.96
Kicukiro,1-Feb-23,44.31,27.13
Kicukiro,1-Mar-23,45.42,18.56
Kicukiro,1-Apr-23,55.66,13.83
Kicukiro,1-May-23,45.71,16.76
Kicukiro,1-Jun-23,41.54,23.19
Kicukiro,1-Jul-23,57.81,22.44
Kicukiro,1-Aug-23,52.84,16.92
Kicukiro,1-Sep-23,52.1,14.61
Kicukiro,1-Oct-23,36.63,10.24
Kicukiro,1-Nov-23,54.96,17.35
Kicukiro,1-Dec-23,44.85,18.63
Kicukiro,1-Jan-24,34.64,20.07
Kicukiro,1-Feb-24,56.97,25.46
Kicukiro,1-Mar-24,57.59,26.03
Kicukiro,1-Apr-24,54.12,29.3
Kicukiro,1-May-24,61.12,16.52
Kicukiro,1-Jun-24,41.88,15.91
Kicukiro,1-Jul-24,59.54,15.3
Kicukiro,1-Aug-24,55.61,13.38
Kicukiro,1-Sep-24,53.85,21.5
Kicukiro,1-Oct-24,31.46,13.15
Kicukiro,1-Nov-24,61.38,21.37
Kicukiro,1-Dec-24,41.93,9.74
Nyarugenge,1-Jan-23,49.34,21.91
Nyarugenge,1-Feb-23,58.84,16.15
